Degradation / Level,KNN,XGB,TREE,RF,SVM,LOGREG,CNN
clean,94.16% / 93.61% (+0.00%),96.07% / 95.45% (+0.00%),90.36% / 87.62% (+0.00%),94.31% / 93.28% (+0.00%),86.89% / 83.83% (+0.00%),89.63% / 89.11% (+0.00%),N/A
Resolution loss — down 2×,94.14% / 93.59% (-0.02%),0.00% / 0.00% (-96.07%),90.48% / 87.78% (+0.12%),94.31% / 93.29% (+0.00%),86.89% / 83.81% (+0.00%),89.59% / 89.07% (-0.04%),N/A
Resolution loss — down 4×,94.12% / 93.57% (-0.04%),0.00% / 0.00% (-96.07%),90.46% / 87.75% (+0.10%),94.35% / 93.33% (+0.04%),86.82% / 83.70% (-0.06%),89.65% / 89.15% (+0.02%),N/A
Gaussian blur s = 1.0,94.16% / 93.61% (+0.00%),0.00% / 0.00% (-96.07%),90.42% / 87.73% (+0.06%),94.29% / 93.27% (-0.02%),86.89% / 83.81% (+0.00%),89.61% / 89.10% (-0.02%),N/A
Gaussian blur s = 2.0,94.14% / 93.59% (-0.02%),0.00% / 0.00% (-96.07%),90.48% / 87.80% (+0.12%),94.37% / 93.35% (+0.06%),86.85% / 83.74% (-0.04%),89.61% / 89.11% (-0.02%),N/A
Motion blur k = 5,94.14% / 93.59% (-0.02%),0.00% / 0.00% (-96.07%),90.42% / 87.68% (+0.06%),94.29% / 93.27% (-0.02%),86.89% / 83.81% (+0.00%),89.63% / 89.11% (+0.00%),N/A
Motion blur k = 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gaussian noise s = 5,94.16% / 93.62% (+0.00%),0.00% / 0.00% (-96.07%),90.38% / 87.59% (+0.02%),94.39% / 93.40% (+0.08%),86.91% / 83.85% (+0.02%),89.59% / 89.03% (-0.04%),N/A
Gaussian noise s = 15,94.16% / 93.63% (+0.00%),0.00% / 0.00% (-96.07%),90.30% / 87.52% (-0.06%),94.26% / 93.25% (-0.04%),86.78% / 83.67% (-0.10%),89.69% / 89.15% (+0.06%),N/A
JPEG quality = 60,94.18% / 93.70% (+0.02%),0.00% / 0.00% (-96.07%),90.30% / 87.44% (-0.06%),94.35% / 93.35% (+0.04%),86.80% / 83.74% (-0.08%),89.53% / 88.92% (-0.10%),N/A
JPEG quality = 40,94.26% / 93.78% (+0.10%),0.00% / 0.00% (-96.07%),90.27% / 87.47% (-0.08%),94.39% / 93.41% (+0.08%),86.85% / 83.73% (-0.04%),89.21% / 88.45% (-0.42%),N/A
JPEG quality = 20,93.89% / 93.30% (-0.27%),0.00% / 0.00% (-96.07%),89.53% / 86.73% (-0.83%),94.37% / 93.34% (+0.06%),86.08% / 82.71% (-0.81%),88.15% / 87.53% (-1.48%),N/A
