id,filepath,label,subset
1,D:\LocalUser\42177 Project\raw\Babesia\0109_141708_1.jpg,babesia,val
2,D:\LocalUser\42177 Project\raw\Babesia\0109_141738_1.jpg,babesia,val
3,D:\LocalUser\42177 Project\raw\Babesia\0109_141738_2.jpg,babesia,train
4,D:\LocalUser\42177 Project\raw\Babesia\0109_141738_3.jpg,babesia,val
5,D:\LocalUser\42177 Project\raw\Babesia\0109_141738_4.jpg,babesia,val
6,D:\LocalUser\42177 Project\raw\Babesia\0109_141754_1.jpg,babesia,test
7,D:\LocalUser\42177 Project\raw\Babesia\0109_141754_2.jpg,babesia,test
8,D:\LocalUser\42177 Project\raw\Babesia\0109_141754_3.jpg,babesia,train
9,D:\LocalUser\42177 Project\raw\Babesia\0109_141754_4.jpg,babesia,train
10,D:\LocalUser\42177 Project\raw\Babesia\0109_141754_5.jpg,babesia,train
11,D:\LocalUser\42177 Project\raw\Babesia\0109_141754_6.jpg,babesia,train
12,D:\LocalUser\42177 Project\raw\Babesia\0109_141843_1.jpg,babesia,train
13,D:\LocalUser\42177 Project\raw\Babesia\0109_141843_2.jpg,babesia,train
14,D:\LocalUser\42177 Project\raw\Babesia\0109_141920_1.jpg,babesia,test
15,D:\LocalUser\42177 Project\raw\Babesia\0109_142006_1.jpg,babesia,val
16,D:\LocalUser\42177 Project\raw\Babesia\0109_142006_2.jpg,babesia,train
17,D:\LocalUser\42177 Project\raw\Babesia\0109_142006_3.jpg,babesia,test
18,D:\LocalUser\42177 Project\raw\Babesia\0109_142100_1.jpg,babesia,train
19,D:\LocalUser\42177 Project\raw\Babesia\0109_142100_2.jpg,babesia,val
20,D:\LocalUser\42177 Project\raw\Babesia\0109_142100_3.jpg,babesia,train
21,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_1.jpg,babesia,train
22,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_10.jpg,babesia,train
23,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_11.jpg,babesia,train
24,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_2.jpg,babesia,train
25,D:\LocalUser\42177 Project\raw\Babesia\0109_142200_3.jpg,babesia,train
